French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
donner,give
type,type
leurs,their
façon,way
écoute,listen
perdu,lost
première,first
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
demandé,request
chambre,bedroom
aimerais,would like to
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
donne,given
loin,far
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
